fid,fid_2,calle_numero,codigo_postal,colonia,alcaldia,sup_terreno,sup_construccion,anio_construccion,instal_esp,valor_unitario_suelo,valor_suelo,cve_vus,subsidio,uso_suelo_raw,clasificacion_viabilidad,ratio_construccion_terreno,valor_m2_suelo_estimado,presupuesto_max_m2_alcaldia,accessibility_score,risk_score,commercial_confidence_score,score_tamano,score_subutilizacion,score_viabilidad_normativa,score_accesibilidad,score_riesgo,score_validacion_comercial,opportunity_score
1015799.0,484846.0,MAGISTERIO NACIONAL 195,14000.0,TLALPAN,TLALPAN,1238.79,210.91,1979.0,0,2968.76,,A140154,0.0,,revision manual,0.17025484545403177,,17000,0.5,0.8,0.0,0.00012590030236272164,0.6216558989910406,0.6,0.5,0.8,0.0,0.3993563598586807
1064607.0,1469789.0,CDA. PRIMAVERAS 11 INT. TOMAZQUITITLA,14480.0,MAGDALENA PETLACALCO,TLALPAN,880.0,150.0,2001.0,0,672.87,592125.6,A140610,1039.783211233,,revision manual,0.17045454545454544,672.87,17000,0.5,0.8,0.0,2.2954087807419793e-05,0.6212121212121213,0.6,0.5,0.8,0.0,0.3992470150599858
1064849.0,1120878.0,AV DEL TRABAJO 6,14490.0,ZONA RUSTICA,TLALPAN,1143.0,195.0,2009.0,0,297.89,340488.27,A141099,984.6946474888,,revision manual,0.17060367454068243,297.89000000000004,17000,0.5,0.8,0.0,9.841565147431236e-05,0.620880723242928,0.6,0.5,0.8,0.0,0.39919582777888046
1053444.0,961850.0,CDA DEL MARQUEZ NUM 6,14630.0,CHIMALCOYOTL,TLALPAN,1131.0,193.0,1986.0,0,2178.25,2463600.75,A141202,0.0,,revision manual,0.17064544650751548,2178.25,17000,0.5,0.8,0.0,9.49725383031994e-05,0.6207878966499656,0.6,0.5,0.8,0.0,0.39917657383765376
1072808.0,960450.0,TERRENO DENOMINADO EL TEJOCOTE IV S/N,14400.0,SAN ANDRES TOTOLTEPEC,TLALPAN,4641.97,795.66,1984.0,0,297.89,1382796.4433,A141099,0.0,,revision manual,0.17140567474585142,297.89,17000,0.5,0.8,0.0,0.001102361459168408,0.6190985005647747,0.6,0.5,0.8,0.0,0.3990401724047886
1036287.0,960688.0,XOCHITLA 6,14400.0,SAN ANDRES TOTOLTEPEC,TLALPAN,1567.0,268.0,1966.0,0,1176.14,1843011.38,A140961,620.0819971022,,revision manual,0.17102744097000638,1176.1399999999999,17000,0.5,0.8,0.0,0.00022007231685363727,0.6199390200666525,0.6,0.5,0.8,0.0,0.3990318184767012
1065240.0,910998.0,NARCISO MENDOZA 17,14700.0,PUEBLO SAN MIGUEL AJUSCO,TLALPAN,1016.0,174.0,1974.0,0,606.01,615706.16,A140310,971.61526476596,,revision manual,0.17125984251968504,606.01,17000,0.5,0.8,0.0,6.197603708003344e-05,0.6194225721784776,0.6,0.5,0.8,0.0,0.3988969096431116
1061691.0,1124387.0,"CL. REAL, 299",14460.0,TLALPUENTE,TLALPAN,3580.33,614.39,2000.0,1,908.74,3253589.0842,A140971,0.0,,revision manual,0.17160150042035233,908.74,17000,0.5,0.8,0.0,0.0007977492369200434,0.618663332399217,0.6,0.5,0.8,0.0,0.39889221632722743
1061704.0,1124202.0,"CL. LOS ELGUEZABAL, 14",14460.0,TLALPUENTE,TLALPAN,2236.24,383.53,1997.0,1,908.74,2032160.7376,A140971,0.0,,revision manual,0.17150663613923373,908.7400000000001,17000,0.5,0.8,0.0,0.0004120947384066075,0.618874141912814,0.6,0.5,0.8,0.0,0.39885724733024414
1071803.0,1468819.0,TERRAZAS 81,14476.0,SAN ANDRES TOTOLTEPEC,TLALPAN,3448.0,592.0,2009.0,1,381.5,1315412.0,A141159,0.0,,revision manual,0.1716937354988399,381.5,17000,0.5,0.8,0.0,0.0007597803064255952,0.6184583655581335,0.6,0.5,0.8,0.0,0.39884362917291183
1034170.0,496910.0,2A CERR DE CLAVEL SUR S/N,14650.0,NAN,TLALPAN,1368.0,235.0,1986.0,0,1563.66,2139086.88,A140912,0.0,,revision manual,0.17178362573099415,1563.6599999999999,17000,0.5,0.8,0.0,0.00016297402343268055,0.6182586094866797,0.6,0.5,0.8,0.0,0.3986843167020225
1075207.0,911795.0,AV. CRUZ BLANCA 202,14500.0,SAN MIGUEL TOPILEJO,TLALPAN,890.0,153.0,1997.0,0,297.89,265122.1,A141099,645.143165382,,revision manual,0.17191011235955056,297.89,17000,0.5,0.8,0.0,2.582334878334727e-05,0.6179775280898876,0.6,0.5,0.8,0.0,0.3986006702877342
1028999.0,955952.0,CRISTOBAL COLON 126,14630.0,TLALCOLIGIA,TLALPAN,1825.0,315.0,2009.0,1,1780.64,3249668.0,A140952,0.0,,revision manual,0.1726027397260274,1780.64,17000,0.5,0.8,0.0,0.00029409925003256613,0.6164383561643836,0.6,0.5,0.8,0.0,0.3983464910828832
1032270.0,947164.0,LAUREL PONIENTE S N ESQ CJON LAUREL PONIENTE,14650.0,SAN PEDRO MARTIR,TLALPAN,1767.0,305.0,1992.0,1,1563.66,2762987.22,A140912,0.0,,revision manual,0.17260894170911148,1563.66,17000,0.5,0.8,0.0,0.0002774575363721868,0.6164245739797523,0.6,0.5,0.8,0.0,0.3983404063032249
1009926.0,1377113.0,PINO SUAREZ 2,14250.0,AMPL. MIGUEL HIDALGO,TLALPAN,898.0,155.0,1980.0,0,2245.77,2016701.46,A140642,0.0,,revision manual,0.17260579064587972,2245.77,17000,0.5,0.8,0.0,2.8118757564089247e-05,0.6164315763424895,0.6,0.5,0.8,0.0,0.39829193902001075
1021497.0,112269.0,"CARRETERA FEDERAL MEXICO-CUERNAVACA, 5109",14430.0,PUEBLO CHIMALCOYOTL,TLALPAN,10924.66,1900.63,2001.0,1,1780.64,19452886.5824,A140952,0.0,,revision manual,0.1739761237420661,1780.64,17000,0.5,0.8,0.0,0.002905029183253386,0.6133863916842975,0.6,0.5,0.8,0.0,0.3982582841735102
1066482.0,1510809.0,PREDIO MAVI,14790.0,STO TOMAS AJUSCO,TLALPAN,1817.0,314.0,1980.0,0,297.89,541266.13,A141099,750.89135413928,,revision manual,0.1728123280132086,297.89,17000,0.5,0.8,0.0,0.00029180384125182415,0.615972604415092,0.6,0.5,0.8,0.0,0.39825288165126876
1041388.0,481975.0,AV SAN FERNANDO NO. 106,14000.0,TLALPAN,TLALPAN,6659.51,1158.35,1988.0,1,2968.76,19770486.9076,A140154,0.0,,revision manual,0.1739392237567028,2968.7599999999998,17000,0.5,0.8,0.0,0.0016812463381056795,0.6134683916517716,0.6,0.5,0.8,0.0,0.39802992759797545
1062231.0,960242.0,CARR FEDERAL A CUERNAVACA 6363,14400.0,SAN ANDRES TOTOLTEPEC,TLALPAN,1507.04,261.24,1984.0,0,1756.72,2647447.3088,A140832,0.0,,revision manual,0.17334642743391018,1756.7200000000003,17000,0.5,0.8,0.0,0.00020286822804197613,0.6147857168135329,0.6,0.5,0.8,0.0,0.397997717008315
1033938.0,958410.0,3RA. CDA DEL ROSAL NO. 4,14650.0,SAN PEDRO MARTIR,TLALPAN,1005.6,174.48,1981.0,0,1563.66,1572416.496,A140912,749.977732605506,,revision manual,0.17350835322195704,1563.66,17000,0.5,0.8,0.0,5.899200566506888e-05,0.6144258817289844,0.6,0.5,0.8,0.0,0.3978969747469299
1068964.0,910426.0,FCO. PE#U#URI 12,14710.0,PO. STO.TOMAS AJUSCO,TLALPAN,1948.6,338.93,1973.0,0,639.35,1245837.41,A140870,618.9914020690304,,revision manual,0.17393513291593965,639.35,17000,0.5,0.8,0.0,0.0003295633156950297,0.613477482409023,0.6,0.5,0.8,0.0,0.3977614091449436
1021492.0,112258.0,CARRETERA FEDERAL A CUERNAVACA NUM. 5101,14630.0,CHIMALCOYOTL,TLALPAN,2160.0,376.0,1977.0,1,1780.64,3846182.4,A140952,0.0,,revision manual,0.17407407407407408,1780.6399999999999,17000,0.5,0.8,0.0,0.0003902194927261365,0.6131687242798354,0.6,0.5,0.8,0.0,0.3977117887545123
1064499.0,1469220.0,TETICPAC NO 48,14480.0,MAGDALENA PETLACALCO,TLALPAN,4071.0,710.0,1966.0,0,672.87,2739253.77,A140610,0.0,,revision manual,0.17440432326209776,672.87,17000,0.5,0.8,0.0,0.0009385352652258768,0.6124348371953383,0.6,0.5,0.8,0.0,0.39767467449211286
1015363.0,486231.0,FUENTES BROTANTES 72,14420.0,TLALPAN,TLALPAN,951.75,165.76,1989.0,0,2289.11,2178660.4425,A140923,0.0,,revision manual,0.1741633832413974,2289.1099999999997,17000,0.5,0.8,0.0,4.354103530969942e-05,0.6129702594635613,0.6,0.5,0.8,0.0,0.39760276009977424
1055011.0,1123726.0,NI¾OS HEROES 71-A,14650.0,SAN PEDRO MARTIR,TLALPAN,1444.0,252.0,2009.0,1,1563.66,2257925.04,A140912,0.0,,revision manual,0.1745152354570637,1563.66,17000,0.5,0.8,0.0,0.00018478040684972934,0.6121883656509696,0.6,0.5,0.8,0.0,0.3974746292115639
1075928.0,912062.0,MORELOS 91,14500.0,SAN MIGUEL TOPILEJO,TLALPAN,3502.59,612.49,1980.0,0,648.41,2271114.3819,A140880,0.0,,revision manual,0.17486774072900338,648.41,17000,0.5,0.8,0.0,0.0007754436020931833,0.6114050206022148,0.6,0.5,0.8,0.0,0.3974360928408616
1062212.0,960588.0,CDA BELLAVISTA 23,14400.0,SAN ANDRES TOTOLTEPEC,TLALPAN,4233.76,741.51,1990.0,0,1176.14,4979494.4864,A140961,0.0,,revision manual,0.17514219039340917,1176.1399999999999,17000,0.5,0.8,0.0,0.0009852353568700724,0.6107951324590908,0.6,0.5,0.8,0.0,0.3973560735631922
